customer_id,first_name,last_name,gender,date_of_birth,address_state,city,employment_title,employment_length,home_ownership,annual_income,credit_score,signup_date
CUST0000001,John,Martinez,F,2004-06-10,GA,GA Springs,Self-Employed,2 years,RENT,54500.0,602,2022-11-02
CUST0000002,Chen,Morgan,F,2000-07-16,PA,PA Heights,Dental Hygienist,2 years,RENT,44100.0,637,2018-04-20
CUST0000003,Carlos,Williams,F,1971-01-01,WI,WI Springs,Truck Driver,9 years,RENT,122900.0,768,2020-03-07
CUST0000004,Nancy,Anderson,F,1957-05-06,MO,MO Falls,Dental Hygienist,10+ years,RENT,67000.0,764,2021-06-06
CUST0000005,Nancy,Lewis,F,1982-12-23,MD,MD Town,Retired,10+ years,RENT,28600.0,690,2020-08-09
CUST0000006,Sophia,Chen,M,1991-09-12,OK,OK Ville,HR Specialist,9 years,MORTGAGE,33700.0,630,2021-12-06
CUST0000007,John,Torres,M,1992-05-21,IN,IN Park,Manager,10+ years,RENT,47800.0,673,2016-06-13
CUST0000008,Aisha,Kim,M,1993-09-19,NC,NC Springs,Police Officer,10+ years,MORTGAGE,43500.0,672,2016-09-24
CUST0000009,William,Thompson,M,1981-10-23,AZ,AZ Falls,Truck Driver,10+ years,MORTGAGE,28400.0,748,2021-07-09
CUST0000010,John,Baker,M,1982-08-10,KS,KS City,Consultant,8 years,OWN,23600.0,620,2021-11-04
CUST0000011,Anthony,Thomas,F,1998-06-08,WA,WA Falls,HR Specialist,9 years,MORTGAGE,215200.0,639,2025-07-11
CUST0000012,Lucas,Davis,F,1970-04-21,FL,Miami,Registered Nurse,5 years,RENT,25500.0,713,2020-08-10
CUST0000013,Olga,Kim,M,1956-10-17,PA,PA City,Paralegal,2 years,MORTGAGE,81300.0,745,2016-05-14
CUST0000014,Chen,Allen,M,1958-07-11,AZ,AZ Falls,Truck Driver,7 years,RENT,87100.0,738,2019-08-25
CUST0000015,Kenji,Brown,M,1975-07-20,CO,CO Springs,HR Specialist,< 1 year,RENT,34300.0,752,2020-10-09
CUST0000016,Aiden,Jackson,M,1982-09-25,MA,MA City,Teacher,2 years,MORTGAGE,57700.0,665,2024-10-14
CUST0000017,Betty,Martinez,M,1981-07-18,TX,San Antonio,Dental Hygienist,< 1 year,MORTGAGE,52500.0,712,2025-08-11
CUST0000018,Michael,White,F,2005-01-07,NC,NC Springs,Registered Nurse,7 years,MORTGAGE,30000.0,785,2016-12-20
CUST0000019,Ava,King,M,1975-02-08,NM,NM Falls,Project Manager,8 years,MORTGAGE,26600.0,643,2015-08-14
CUST0000020,Daniel,Davis,F,1994-09-02,CA,San Diego,Warehouse Associate,4 years,MORTGAGE,47200.0,775,2021-03-17
CUST0000021,Betty,Chen,F,1972-08-08,MI,MI Heights,Accountant,2 years,MORTGAGE,72900.0,696,2022-08-17
CUST0000022,Charles,Reyes,M,1990-03-26,WI,WI Park,Dental Hygienist,10+ years,MORTGAGE,63400.0,850,2021-10-18
CUST0000023,Elizabeth,King,M,1970-02-06,CA,Los Angeles,Administrative Assistant,4 years,RENT,64900.0,668,2025-12-16
CUST0000024,Ethan,Wilson,F,1966-11-06,MI,MI Falls,Project Manager,10+ years,RENT,27200.0,807,2022-01-19
CUST0000025,Aiden,Lopez,M,1987-11-20,MD,MD Park,Truck Driver,4 years,RENT,59100.0,678,2022-12-11
CUST0000026,Carlos,Baker,F,1961-06-06,MA,MA Ville,Bank Teller,10+ years,RENT,20800.0,636,2016-03-15
CUST0000027,Christopher,Perez,F,1973-09-11,IL,IL Springs,Self-Employed,9 years,RENT,48900.0,731,2021-12-08
CUST0000028,Ava,Brown,M,1960-11-27,MA,MA Springs,Registered Nurse,8 years,RENT,47400.0,663,2024-11-16
CUST0000029,Margaret,Lee,M,1968-08-05,FL,Tampa,Plumber,1 year,MORTGAGE,71500.0,678,2018-04-27
CUST0000030,Daniel,Flores,F,1992-12-26,PA,PA Falls,Accountant,7 years,RENT,79900.0,731,2021-05-27
CUST0000031,Daniel,Young,M,1996-11-09,TX,Austin,Operations Manager,10+ years,RENT,67900.0,626,2023-11-21
CUST0000032,Barbara,Flores,F,1966-12-04,FL,Orlando,Manager,10+ years,RENT,33000.0,712,2020-09-05
CUST0000033,John,King,M,1971-04-08,NY,Syracuse,HR Specialist,8 years,MORTGAGE,126700.0,666,2016-09-20
CUST0000034,Margaret,Wilson,F,1971-10-19,NY,New York,Financial Analyst,6 years,OWN,116700.0,735,2018-02-06
CUST0000035,Emma,Lewis,M,1989-01-18,TX,San Antonio,Store Manager,< 1 year,MORTGAGE,34200.0,685,2023-07-15
CUST0000036,Patricia,Lewis,M,1965-11-10,CA,San Diego,Real Estate Agent,< 1 year,MORTGAGE,59900.0,709,2017-04-20
CUST0000037,Sophia,Morgan,M,1964-12-23,VA,VA Park,Bank Teller,10+ years,MORTGAGE,60500.0,726,2024-02-07
CUST0000038,Ava,Anderson,M,1988-07-12,MA,MA City,Operations Manager,6 years,RENT,88700.0,775,2019-01-05
CUST0000039,Susan,Taylor,F,1988-11-16,PA,PA Springs,Chef,10+ years,MORTGAGE,112100.0,784,2017-08-19
CUST0000040,Wei,Hernandez,M,1982-04-06,AL,AL Park,Registered Nurse,1 year,RENT,65400.0,698,2019-07-15
CUST0000041,David,Martin,F,1957-03-12,FL,Tallahassee,Chef,8 years,MORTGAGE,37300.0,822,2019-01-27
CUST0000042,Diego,Walker,M,1975-03-22,TX,Fort Worth,Marketing Specialist,10+ years,RENT,33100.0,807,2016-01-20
CUST0000043,Kenji,Perez,M,1998-04-23,SC,SC Falls,Consultant,1 year,OWN,51500.0,711,2025-02-18
CUST0000044,Sarah,Torres,M,1991-02-20,VA,VA Falls,Software Engineer,4 years,MORTGAGE,53800.0,682,2016-10-25
CUST0000045,Patricia,Brown,F,1983-10-27,NY,Buffalo,Sales Associate,9 years,RENT,76300.0,755,2025-08-24
CUST0000046,Lucas,Scott,M,1993-08-03,ID,ID Springs,Police Officer,10+ years,MORTGAGE,50400.0,732,2019-12-09
CUST0000047,Daniel,Chen,M,1995-07-03,CO,CO Town,Accountant,10+ years,MORTGAGE,38600.0,758,2025-09-19
CUST0000048,Emma,Adams,F,2002-07-25,TX,San Antonio,Administrative Assistant,1 year,OWN,84100.0,657,2023-12-08
CUST0000049,Fatima,Thompson,F,1983-11-25,CA,San Francisco,Chef,10+ years,RENT,67400.0,635,2018-04-27
CUST0000050,Chen,Scott,F,1996-01-02,TX,San Antonio,Dental Hygienist,< 1 year,RENT,98100.0,742,2017-11-15
CUST0000051,Diego,Hill,F,1972-09-24,NM,NM City,Registered Nurse,5 years,RENT,92100.0,612,2019-12-15
CUST0000052,Elizabeth,Martin,M,1964-02-26,CA,Sacramento,Nurse Practitioner,3 years,MORTGAGE,45100.0,624,2023-07-27
CUST0000053,Charles,Jackson,F,1966-03-23,MI,MI Falls,Accountant,2 years,RENT,96200.0,665,2016-02-13
CUST0000054,Lisa,Reyes,M,1981-06-06,CA,San Diego,Customer Service Rep,4 years,OWN,46200.0,675,2024-06-13
CUST0000055,Matthew,Adams,F,1965-10-09,WV,WV Park,Dental Hygienist,2 years,MORTGAGE,38000.0,676,2019-12-25
CUST0000056,Robert,Diaz,M,1970-04-19,NY,Buffalo,Operations Manager,2 years,MORTGAGE,51800.0,701,2017-04-27
CUST0000057,Margaret,Patel,F,1965-08-01,NY,Syracuse,Truck Driver,10+ years,OWN,34800.0,788,2021-05-06
CUST0000058,Linda,Thompson,F,1979-09-20,AL,AL Park,Project Manager,1 year,MORTGAGE,29700.0,568,2020-09-18
CUST0000059,Diego,Martin,M,1998-07-19,PA,PA Town,Teacher,5 years,RENT,55700.0,748,2024-04-21
CUST0000060,Aisha,Reyes,M,1979-04-03,CA,San Francisco,Store Manager,10+ years,RENT,63200.0,802,2024-04-10
CUST0000061,Ethan,Harris,M,1985-01-20,VA,VA Ville,Police Officer,10+ years,RENT,50900.0,670,2017-11-13
CUST0000062,Diego,Morgan,F,1989-12-06,CT,CT City,Registered Nurse,10+ years,RENT,24100.0,737,2022-02-14
